,Single,Cross,Evasive
Rules,0.0,0.9828047382499044,0.9889836531627576
Factored,0.0003968253968253968,0.6977455101260985,0.5422885572139303
Monotone,0.0003968253968253968,0.0038211692777990066,0.0035536602700781805
Full MLP,0.0,0.006878104700038212,0.0007107320540156361
